province,prefecture,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,CO_s5,NO2_s5,O3_s5,SO2_s5,Aerosol_s5,HCHO_s5,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr
Anhui,Anqing,4691300,304.4669428,83,1.769232409,0,0,0,0.046550452,5.49E-05,0.123513799,4.78E-05,-1.120529591,0.000178749,113.9653046,53.20482771,7.696777336,12.57141392,25.0814618,9.227354457
Anhui,Bengbu,3392000,574.5648112,160,4.716981132,5,0.14740566,3.125,0.048506745,9.11E-05,0.129157506,6.84E-05,-1.062198048,0.000180159,126.2914263,63.17717809,7.394822944,13.16792144,30.6739922,10.4947978
Anhui,Bozhou,5237200,609.5478723,108,2.062170626,0,0,0,0.049616423,8.51E-05,0.129853011,6.63E-05,-1.049462985,0.000177812,115.6419643,56.81046931,7.791071429,14.83392857,18.52569883,18.83303571
Anhui,Chaohu,3871520,410.2505142,0,0,0,0,,0.049129232,9.40E-05,0.125497444,6.03E-05,-1.095612277,0.000187264,,,,,,
Anhui,Chizhou,1474500,174.2193612,17,1.152933198,0,0,0,0.045919074,5.45E-05,0.122866231,4.33E-05,-1.122775231,0.00018236,87.53687169,40.67608697,6.546440748,10.59138461,22.19996524,8.506900242
Anhui,Chuzhou,4114200,303.2394025,13,0.315978805,0,0,0,0.048019042,8.82E-05,0.127870422,6.66E-05,-1.091376061,0.000178452,133.5267913,65.67741307,8.39721785,13.37024411,20.45555739,8.73420388
Anhui,Fuyang,8207200,812.9363183,155,1.888585632,0,0,0,0.049302502,7.92E-05,0.12866094,6.44E-05,-1.004791841,0.000182197,116.7256914,54.79474612,6.688403183,14.7683352,31.49591926,12.39678039
Anhui,Hefei,4215880,563.1485989,174,4.127252199,1,0.02371984,0.574712644,0.047932051,9.07E-05,0.12669833,4.85E-05,-1.047454314,0.000191126,135.3334083,71.75798279,8.71209958,13.55084399,23.78927293,8.481576117
Anhui,Huaibei,2254100,837.2383653,28,1.242180915,0,0,0,0.049414707,0.00010008,0.130648657,6.58E-05,-1.053105385,0.000181463,115.6863421,60.32627091,10.13162973,16.95571313,29.5071549,11.7757193
Anhui,Huainan,3489500,1642.78856,27,0.773749821,0,0,0,0.048354618,8.91E-05,0.1283842,6.51E-05,-1.059378914,0.000186661,112.5562163,61.83464129,7.874906471,12.36412046,24.57005811,8.740119894
Anhui,Huangshan,1407100,144.5330963,9,0.639613389,0,0,0,0.042631532,3.06E-05,0.121752341,3.29E-05,-1.130990791,0.000160743,81.58027844,36.3003658,2.38666057,5.968551987,14.6507872,3.187465032
Anhui,Lu'an,4837400,262.9988035,69,1.426386075,0,0,0,0.046484824,5.65E-05,0.125893047,3.98E-05,-1.098052139,0.000174643,,,,,,
Anhui,Ma'anshan,2337100,1306.99683,38,1.625946686,0,0,0,0.049975296,0.000116965,0.125677982,6.02E-05,-1.094033,0.000187098,133.73569,68.03713403,12.21091781,15.55480275,31.61373395,12.42819262
Anhui,Suzhou,5681400,568.1756778,41,0.721653114,0,0,0,0.049576828,9.54E-05,0.131118322,8.25E-05,-1.055445836,0.000175238,129.4595556,63.94755556,9.592888889,11.144,31.65613718,14.38844444
Anhui,Tongling,1629100,1572.582368,29,1.780123995,0,0,0,0.049519405,0.000104819,0.124199008,6.87E-05,-1.082643074,0.000196551,124.6013511,66.09920819,12.25473337,15.99825015,23.44211538,18.72851639
Anhui,Wuhu,3748200,1137.985818,34,0.907102076,0,0,0,0.048815758,8.40E-05,0.124633419,4.85E-05,-1.085976415,0.000185808,126.0973943,65.94472557,9.588216646,14.89611279,25.7619503,10.30456039
Anhui,Xuancheng,2648300,215.4912812,6,0.226560435,0,0,0,0.045253574,5.34E-05,0.123498176,3.67E-05,-1.125211318,0.000176695,103.1642005,53.66652038,6.927568306,15.28383502,26.40059359,10.70153209
Beijing,Beijing,21542000,1313.103568,593,2.729551574,9,0.037136756,1.360544218,0.045974334,0.000123185,0.148350196,0.000134264,-0.944470349,0.000173279,144.8599251,83.01568208,11.42316571,24.38498932,26.85454009,10.51187296
Chongqing,Chongqing,31018000,376.2537008,579,1.86665807,6,0.019343607,1.03626943,0.041471128,3.58E-05,0.121772013,2.00E-05,-0.927860852,0.00015042,123.5374426,62.35600499,9.499253243,18.57873867,17.67135751,9.765953165
Fujian,Fuzhou,7740000,665.1661644,72,0.930232558,1,0.012919897,1.388888889,0.039889126,3.85E-05,0.117165159,-1.44E-05,-1.0602329,0.000142897,63.10124977,29.5978863,7.344418423,13.88402452,24.3212689,3.963935547
Fujian,Longyan,2640000,138.1213692,6,0.227272727,0,0,0,0.038262415,2.86E-05,0.116534346,-3.93E-06,-1.170381034,0.000131884,69.92770016,35.3783698,7.385430228,11.63372261,20.90477047,5.282058762
Fujian,Nanping,2690000,102.1786547,20,0.743494424,0,0,0,0.039155674,2.38E-05,0.118275448,7.26E-06,-1.116146236,0.000142594,63.90750219,27.06295511,7.956481467,4.758023194,23.99196302,6.531751724
Fujian,Ningde,2910000,220.1293847,26,0.89347079,0,0,0,0.03827004,2.97E-05,0.117644208,2.34E-07,-1.078976379,0.000130973,76.19690889,37.23199898,7.349213127,8.403977497,24.99136454,2.980309131
Fujian,Putian,2900000,743.6759117,56,1.931034483,0,0,0,0.039622722,3.81E-05,0.116741967,-2.48E-05,-1.049350291,0.000140102,73.7408955,32.39608113,5.573457011,7.15496622,18.95935984,1.643647571
Fujian,Quanzhou,8700000,796.4726359,47,0.540229885,0,0,0,0.039209899,3.83E-05,0.116540892,-1.66E-05,-1.084021867,0.000142405,82.65122396,45.76233533,5.874316635,9.536015812,35.99499651,5.417359079
Fujian,Sanming,2580000,112.4163184,14,0.542635659,0,0,0,0.039097849,2.75E-05,0.11726502,-1.72E-06,-1.140253498,0.000135214,74.54832537,36.61234078,9.212118435,10.61763076,14.31112825,7.359890011
Fujian,Xiamen,4110000,2683.784465,35,0.851581509,0,0,0,0.041059197,6.76E-05,0.116659474,-2.22E-05,-1.00291543,0.000165234,91.33856566,43.25277138,5.266193214,13.47359813,33.21876583,5.413121797
Fujian,Zhangzhou,5140000,410.5145703,20,0.389105058,0,0,0,0.039409643,4.08E-05,0.116366338,-2.21E-05,-1.104454552,0.000150048,85.68204084,44.27196582,4.891330265,10.68222791,21.06827263,5.227116547
Gansu,Baiyin,1734200,86.27495239,4,0.230653904,0,0,0,0.02953427,2.97E-05,0.133318003,0.000109212,-0.774895021,9.62E-05,107.0459459,91.64774775,9.397297297,14.64684685,20.27727273,22.83153153
Gansu,Dingxi,2821700,143.3298139,9,0.318956657,0,0,0,0.027103681,1.94E-05,0.129310954,5.19E-05,-0.902554362,9.54E-05,95.48574238,59.05358899,7.823326772,10.52753196,27.18886098,12.13176008
Gansu,Gannan Tibetan,720200,19.72872742,8,1.110802555,0,0,0,0.021253268,8.97E-06,0.126147101,3.91E-05,-1.084701728,6.81E-05,120.0005013,76.00050125,13.25714286,14.49573935,18.25520041,7.102255639
Gansu,Jiayuguan,252000,193.8207353,0,0,0,0,,0.030044637,4.49E-05,0.138851378,0.000108622,-0.473320599,8.01E-05,92.17613285,85.41895928,6.92458984,13.28798575,50.53927335,14.35908083
Gansu,Jinchang,468600,63.6832358,1,0.213401622,0,0,0,0.027226929,2.11E-05,0.137034894,8.65E-05,-0.601430957,8.35E-05,94.48538593,75.52193114,11.36142193,8.940285566,39.04528176,21.69847781
Gansu,Jiuquan,1127000,7.737810646,0,0,0,0,,0.025797452,1.03E-05,0.139807465,3.62E-05,-0.382104772,6.09E-05,,,,,,
Gansu,Lanzhou,3753600,282.8722345,36,0.959079284,2,0.053282182,5.555555556,0.02978857,5.95E-05,0.13217478,0.000137367,-0.888594758,0.000105592,121.1528249,84.55935627,13.0807547,22.743814,33.58412477,13.12395829
Gansu,Linxia Hui,2058800,254.7814498,3,0.145715951,0,0,0,0.027985731,2.77E-05,0.130440421,8.04E-05,-0.90111339,0.000109256,73.90386625,46,9.151515152,18.19958203,27.57777778,10.14315569
Gansu,Longnan,2634300,92.5652268,4,0.151842994,0,0,0,0.030641432,1.85E-05,0.12645354,5.54E-05,-0.957795172,0.000105085,107.712831,58.99185336,7.205702648,9.759674134,34.22365591,11.15682281
Gansu,Pingliang,2119100,191.4236357,9,0.424708603,0,0,0,0.032158963,3.03E-05,0.130946862,5.46E-05,-0.916597306,0.000111723,102.2907801,56.88120567,8.691489362,20.89539007,20.2954342,11.38741135
Gansu,Qingyang,2266600,83.43164128,3,0.132356834,0,0,0,0.032569808,2.40E-05,0.133553252,7.47E-05,-0.920119367,0.000106536,82.62049207,58.15493814,9.968095303,5.998089441,31.55336677,7.765268006
Gansu,Tianshui,3354900,235.757334,12,0.357685773,0,0,0,0.030931822,2.28E-05,0.128910794,5.34E-05,-0.9288139,0.000107536,96.33895297,58.86956522,7.409498208,16.15794144,25.8513146,9.653948536
Gansu,Wuwei,1827800,55.89208982,0,0,0,0,,0.027905447,1.97E-05,0.13674862,7.33E-05,-0.589333699,8.38E-05,95.1841637,76.27669039,13.95907473,11.47686833,25.50499546,16.83985765
Gansu,Zhangye,1233800,31.15862739,2,0.162100827,0,0,0,0.023613338,1.64E-05,0.136827746,5.26E-05,-0.788481188,6.90E-05,90.05929204,63.61946903,5.738938053,9.476106195,34.63333333,12.32035398
Guangdong,Chaozhou,2656600,828.8113932,6,0.225852594,0,0,0,0.040545407,3.84E-05,0.116294718,-2.08E-05,-1.110440736,0.000150058,99.7589314,48.42938855,9.943219419,8.101516728,40.91574583,6.467223261
Guangdong,Dongguan,8392200,3469.672666,100,1.19158266,1,0.011915827,1,0.044731199,0.000125673,0.116526592,-4.97E-05,-0.938996871,0.000219848,98.57647141,44.61406703,7.511318863,16.00101777,35.19224004,8.077706303
Guangdong,Foshan,7905700,2036.169053,100,1.214313723,0,0,0,0.045435338,0.000160883,0.116541902,-3.01E-05,-0.941954922,0.000215633,99.63088733,47.26259439,8.84990904,20.28441155,24.04725528,9.423629885
Guangdong,Guangzhou,14904400,2088.678485,507,3.133302917,1,0.006709428,0.214132762,0.044277806,9.51E-05,0.116669202,-3.91E-05,-1.023903909,0.000194757,100.554408,48.22024175,8.093725901,17.63483414,28.10195826,7.469590665
Guangdong,Heyuan,3093900,198.0239753,4,0.129286661,0,0,0,0.040842835,2.90E-05,0.116464453,-2.69E-05,-1.180112864,0.000146464,92.92767036,41.60768086,7.706140528,10.92837258,27.080534,5.678277851
Guangdong,Huizhou,4830000,427.1469298,62,1.283643892,0,0,0,0.042497798,4.75E-05,0.116443349,-3.99E-05,-1.112951485,0.000162581,81.91322805,40.05766032,6.178458085,9.521392269,28.01778569,5.484315394
Guangdong,Jiangmen,4598200,490.1912339,24,0.521943369,0,0,0,0.043834126,8.95E-05,0.116308193,-2.56E-05,-1.02056729,0.000179873,96.28402561,48.70814366,7.171785872,15.65639597,21.7232415,9.187327003
Guangdong,Jieyang,6089400,1166.321788,11,0.180641771,0,0,0,0.041381594,4.15E-05,0.116146647,-4.39E-05,-1.061753693,0.00015023,98.86262488,46.79041456,8.866759759,9.400639183,33.72853425,9.21310332
Guangdong,Maoming,6313200,554.8849282,14,0.221757587,0,0,0,0.043223681,3.04E-05,0.116029577,-2.09E-05,-1.035144644,0.000152483,87.43612214,41.21722937,7.607016215,6.764364827,28.23541415,7.844057675
Guangdong,Meizhou,4378800,276.8343288,17,0.388234219,0,0,0,0.040251019,3.22E-05,0.116368358,-2.84E-05,-1.178679275,0.000141718,94.52221504,44.0932917,8.434061999,9.978666866,23.61178929,4.736740199
Guangdong,Qingyuan,3874000,204.8100265,12,0.309757357,0,0,0,0.042348125,4.06E-05,0.116697016,-1.97E-05,-1.068752215,0.00015728,84.781354,41.14169304,9.74505594,13.28505505,24.5132093,9.625334926
Guangdong,Shantou,5638500,2733.575829,26,0.461115545,0,0,0,0.042098977,5.15E-05,0.116390825,-3.45E-05,-1.027439174,0.000162757,100.3803671,49.7758191,8.532790593,10.59486798,33.67307779,9.279950287
Guangdong,Shanwei,2993600,616.0904758,5,0.167022982,0,0,0,0.041254589,3.30E-05,0.116096961,-5.48E-05,-1.085417037,0.000143138,84.78670386,36.67016081,7.044034975,5.676778176,31.54408182,5.175694369
Guangdong,Shaoguan,2997600,163.0467758,10,0.333600214,1,0.033360021,10,0.041528531,3.15E-05,0.116861866,-1.72E-05,-1.118838666,0.000150355,93.33072456,44.03255627,9.813753726,11.91292822,25.45676707,11.44710318
Guangdong,Shenzhen,13026600,6796.338106,462,3.500529685,3,0.023029801,0.657894737,0.043398284,0.000123491,0.11632809,-5.99E-05,-0.981116026,0.000189252,92.73018457,46.59458093,9.752245453,19.21492377,33.49808803,5.337830226
Guangdong,Yangjiang,2555600,326.9752559,14,0.54781656,0,0,0,0.04298879,3.93E-05,0.116109998,-1.75E-05,-1.046315671,0.00015262,88.26508679,37.77790587,9.76704236,10.30754172,25.25192863,3.587091592
Guangdong,Yunfu,2526900,324.5355249,0,0,0,0,,0.043180945,4.41E-05,0.116262351,-1.65E-05,-1.059433852,0.00016137,89.58494526,43.24392039,10.71130995,10.16138636,18.01989307,9.901530651
Guangdong,Zhanjiang,7332000,583.9118154,24,0.327332242,0,0,0,0.044571931,3.11E-05,0.116279511,-1.58E-05,-0.993558389,0.000160843,78.56011872,38.73438767,8.741003807,6.712565199,29.69039029,5.348603053
Guangdong,Zhaoqing,4151700,279.2817781,20,0.481730376,1,0.024086519,5,0.043197132,4.27E-05,0.11659648,-3.34E-05,-1.059868777,0.000171405,100.9909525,49.48310723,9.131141543,12.8379446,22.54495127,10.20657439
Guangdong,Zhongshan,3310000,1886.477549,69,2.054380665,0,0,0,0.044346687,0.000148635,0.116472706,-4.32E-05,-0.944648864,0.00020442,88.86957659,40.27464671,9.327509549,12.32053368,23.32293153,6.211327621
Guangdong,Zhuhai,1891100,1225.112795,103,5.446565491,1,0.052879277,0.970873786,0.04327418,0.000113044,0.116443992,-3.72E-05,-0.99474263,0.00016207,92.46603867,50.6747645,8.75,16.70004958,31.66914683,6.233515121
Guangxi,Baise,3669400,101.2976033,3,0.081757236,0,0,0,0.040747125,2.34E-05,0.116451155,-6.63E-06,-1.029134403,0.000152178,96.81082816,46.31925725,7.676343873,6.866610544,20.51076341,6.831742608
Guangxi,Beihai,1680000,483.203079,44,2.619047619,1,0.05952381,2.272727273,0.046104537,3.33E-05,0.116279942,-6.67E-06,-0.979847531,0.000164073,79.88741781,44.27809495,10.51598368,6.797148919,34.15477172,5.741843586
Guangxi,Chongzuo,2099400,120.7369859,0,0,0,0,,0.043056279,2.74E-05,0.116397256,-2.20E-05,-0.915738415,0.000168076,,,,,,
Guangxi,Fangchenggang,953300,158.7008391,19,1.993076681,0,0,0,0.04376793,2.87E-05,0.116174255,-2.38E-05,-0.896139395,0.000161141,,,,,,
Guangxi,Guigang,4409200,414.932516,8,0.18143881,0,0,0,0.044955907,3.53E-05,0.11665023,-2.27E-05,-0.929001833,0.000170362,,,,,,
Guangxi,Guilin,5085500,184.5570847,32,0.629239996,0,0,0,0.041706072,2.78E-05,0.117034522,-8.82E-06,-0.941404457,0.000153284,116.1594843,53.53832081,9.355430057,10.61437182,28.2697182,11.12117549
Guangxi,Hechi,3545700,106.1342196,28,0.789688919,1,0.028203176,3.571428571,0.041562073,2.15E-05,0.116864754,-7.01E-06,-0.901140764,0.000140105,96.14477212,45.18319929,11.70598749,9.645218945,17.15173675,12.91867739
Guangxi,Hezhou,2072600,177.6073816,4,0.192994307,0,0,0,0.042190314,2.82E-05,0.116690954,-2.68E-05,-0.991437372,0.000153843,93.41553749,47.29739443,5.492362983,6.298292902,22.35321101,7.374663073
Guangxi,Laibin,2233900,169.7635797,11,0.492412373,0,0,0,0.044180627,3.13E-05,0.116732055,-1.86E-05,-0.911753033,0.000158536,,,,,,
Guangxi,Liuzhou,4041700,214.8297937,24,0.593809536,0,0,0,0.043596765,3.07E-05,0.117230973,-9.78E-07,-0.913669804,0.000155719,120.9628855,59.59870214,9.689644158,11.99242084,32.79267732,14.87264398
Guangxi,Nanning,7254100,328.0151665,55,0.758191919,0,0,0,0.044656809,3.53E-05,0.116653231,-1.73E-05,-0.88994398,0.00017064,100.8115236,52.50481406,8.130979077,13.87547543,20.11183585,6.484211366
Guangxi,Qinzhou,3304400,308.3094851,8,0.242101441,0,0,0,0.04497249,3.06E-05,0.11635837,-1.97E-05,-0.929882234,0.000168007,88.46749777,44.62778272,10.01959038,6.024042743,23.38630137,10.97506679
Guangxi,Wuzhou,3061100,244.1029623,5,0.163339976,0,0,0,0.043594894,3.03E-05,0.116516872,-2.56E-05,-1.001056717,0.000159899,85.98069151,36.78221823,13.4207454,8.943421643,35.91020408,6.889986529
Guangxi,Yulin,5849700,454.9643913,11,0.188043831,0,0,0,0.044368171,3.38E-05,0.116191951,-2.48E-05,-0.968677936,0.000166778,89.16358334,39.52295218,8.732480836,7.948138893,28.00732398,9.462251302
Guizhou,Anshun,2353100,252.4876516,4,0.169988526,0,0,0,0.037767471,3.13E-05,0.116927872,2.53E-05,-0.981748244,0.00013685,,,,,,
Guizhou,Bijie,6686100,249.5153022,23,0.343997248,0,0,0,0.034848541,3.33E-05,0.117237535,4.00E-05,-1.013545475,0.000130689,,,,,,
Guizhou,Guiyang,4881900,607.6200325,36,0.737417809,1,0.020483828,2.777777778,0.03823322,4.58E-05,0.117516109,3.12E-05,-0.926959987,0.000134096,101.0342835,49.26246921,6.597555228,12.59477262,19.48679608,9.851237495
Guizhou,Liupanshui,2937300,294.5359884,10,0.340448711,1,0.034044871,10,0.034908037,3.75E-05,0.116597081,3.53E-05,-1.035528284,0.000140473,,,,,,
Guizhou,Qiandongnan Miao and Dong,3538300,116.8104536,10,0.282621598,0,0,0,0.039986186,2.33E-05,0.117708565,1.60E-05,-0.915244577,0.000135381,,,,,,
Guizhou,Qiannan Buyei and Miao,3292100,126.3810072,17,0.516387716,0,0,0,0.038743253,2.52E-05,0.117093492,5.83E-06,-0.955614193,0.000128251,,,,,,
Guizhou,Qianxinan Buyei and Miao,2871700,170.9085005,4,0.139290316,0,0,0,0.038121128,2.73E-05,0.11665162,1.34E-05,-1.067779066,0.000147852,,,,,,
Guizhou,Tongren,3168800,176.6351527,10,0.315576875,0,0,0,0.040427225,2.47E-05,0.119055194,4.42E-06,-0.909820097,0.000138337,,,,,,
Guizhou,Zunyi,6270700,203.7647828,32,0.510309854,0,0,0,0.039093332,2.94E-05,0.118939913,2.32E-05,-0.86426161,0.00013817,110.5772524,59.64850435,6.875604156,13.88736996,20.44541515,10.56647967
Hainan,Haikou,2272100,1010.298849,39,1.716473747,0,0,0,0.042008287,2.60E-05,0.116121736,-2.61E-05,-1.009461417,0.000164184,67.07403564,33.48530249,5.900766286,6.278787333,21.32462583,2.806791134
Hainan,Hainan,6221700,207.8975538,75,1.205458315,5,0.080363888,6.666666667,0.040464629,1.94E-05,0.11592066,-2.17E-05,-1.150891646,0.000145881,58.38518715,28.06993032,6.59352883,3.958613619,20.31040621,2.139585894
Hainan,Sanya,764200,405.2704795,55,7.066213033,1,0.130855797,1.851851852,0.039702165,1.76E-05,0.116019776,-9.27E-06,-1.181331286,0.000128936,57.27687734,26.08681939,6.401771701,6.50117711,17.15412301,1.14401485
Hebei,Baoding,11690500,524.2480884,32,0.27372653,0,0,0,0.049347506,0.000128946,0.144673118,0.000184135,-0.899701806,0.000185776,186.9598806,140.9169337,14.66422909,24.91311693,26.77753113,29.42086726
Hebei,Cangzhou,7554900,532.0506977,48,0.635349244,3,0.039709328,6.25,0.05235894,0.000136095,0.143805384,0.000183311,-0.862381207,0.000197175,154.1450426,91.41426746,9.053035687,18.76100611,24.6583716,23.5649445
Hebei,Chengde,3565000,90.27034292,7,0.196353436,0,0,0,0.037749593,3.76E-05,0.150892742,0.000116611,-1.076614074,0.000106698,114.6644204,69.56284253,8.681413723,15.27435562,26.99652184,13.71801076
Hebei,Handan,9511100,788.799781,32,0.336448991,0,0,0,0.05744149,0.000153924,0.137848201,0.000212828,-0.957199562,0.000209296,176.5995924,122.7421141,15.73575665,23.0856567,19.40155723,30.76929038
Hebei,Hengshui,4460400,504.9708462,8,0.179356112,0,0,0,0.052936039,0.000132756,0.142019568,0.000197507,-0.86016425,0.000200361,183.9647449,126.9874503,11.7062651,19.65958926,28.21580929,21.79695884
Hebei,Langfang,4741000,741.043583,30,0.632777895,0,0,0,0.052739012,0.000160323,0.146553077,0.0001828,-0.787781226,0.000210333,162.9463561,109.6519565,12.90089092,24.0198796,25.06554903,17.8505611
Hebei,Qinhuangdao,3110800,400.1805321,10,0.321460718,1,0.032146072,10,0.054357675,0.000119942,0.14953548,0.000211039,-0.995134066,0.000147777,127.4440672,83.23788516,12.00896087,20.54693097,21.33996813,20.95182663
Hebei,Shijiazhuang,10879900,773.9765412,29,0.266546568,0,0,0,0.053895084,0.000170954,0.142066218,0.00024644,-0.881614528,0.000201515,186.6507982,139.8904006,13.56086891,24.64458967,22.39926768,29.75392849
Hebei,Tangshan,7897000,594.2077604,58,0.734456123,1,0.012663037,1.724137931,0.060604597,0.000180645,0.148482885,0.0002364,-0.919338932,0.000168776,150.6982964,100.377029,16.03403324,25.64628312,27.45902914,24.11278695
Hebei,Xingtai,7351600,589.3266134,23,0.312857065,1,0.013602481,4.347826087,0.055677153,0.000155276,0.139941598,0.000224791,-0.89690043,0.000207087,177.6173075,134.8703784,13.34151958,26.44833749,20.52823928,27.91661523
Hebei,Zhangjiakou,4433100,120.7709468,41,0.924860707,0,0,0,0.035420929,4.96E-05,0.148256089,9.53E-05,-0.967595558,9.71E-05,102.5194407,63.6747965,7.488320492,11.77513745,26.07797097,18.11161285
Heilongjiang,Daqing,3184000,153.7633815,27,0.816582915,1,0.031407035,3.846153846,0.03922756,2.72E-05,0.164182741,0.000102565,-0.823068688,0.000106057,103.0159952,49.35217426,5.671111096,11.86864341,34.05778782,9.390529226
Heilongjiang,Daxing'anling,471000,7.273398603,3,0.636942675,0,0,0,0.034757786,4.96E-06,0.170378233,-2.62E-05,-1.122216002,5.50E-05,,,,,,
Heilongjiang,Harbin,10981000,205.9444331,264,1.80311447,4,0.036426555,2.02020202,0.040206391,3.61E-05,0.16368479,0.000115628,-0.898969576,0.000114713,129.2425975,73.40587849,8.314761622,22.38663094,26.33977606,18.99365657
Heilongjiang,Hegang,1037000,72.26209739,5,0.482160077,0,0,0,0.039168589,1.68E-05,0.167870351,0.00011602,-0.890009504,9.01E-05,100.1861019,53.08938895,8.976847132,6.646547637,22.82529906,5.748824326
Heilongjiang,Heihe,1642000,24.56255145,14,0.852618758,0,0,0,0.036780972,1.15E-05,0.168238987,7.81E-05,-0.973938273,7.53E-05,69.1088955,34.08516809,3.431589529,7.125888861,20.06140801,10.07190897
Heilongjiang,Jiamusi,2518000,78.99145258,15,0.595710882,0,0,0,0.039922633,2.04E-05,0.167150934,8.99E-05,-0.878931232,9.41E-05,76.69888482,38.33134546,7.91165173,11.11483286,23.87001156,5.671286433
Heilongjiang,Jixi,1842000,72.8627605,46,2.497285559,0,0,0,0.040226791,2.54E-05,0.164061873,0.000103392,-0.879880311,0.000108905,63.2690556,37.55513778,7.978462665,8.048967562,18.745269,10.42697347
Heilongjiang,Mudanjiang,2755000,71.22609104,25,0.54446461,0,0,0,0.038051169,1.97E-05,0.161969182,0.000101667,-1.03777683,9.58E-05,110.5391226,60.47843236,7.437150463,12.38832878,28.17467953,10.89565035
Heilongjiang,Qiqihar,5052000,119.6646196,43,0.85114806,1,0.019794141,2.325581395,0.038019065,2.02E-05,0.165636229,9.93E-05,-0.892078738,9.28E-05,90.43822287,50.78821335,8.272883577,11.26390642,27.35662095,14.39923506
Heilongjiang,Qitaihe,868000,162.3756388,17,1.958525346,0,0,0,0.039829163,2.78E-05,0.164431656,0.000116356,-0.917443764,0.000107189,101.8568465,56.12759336,3.908713693,5.702282158,20.15621679,5.190871369
Heilongjiang,Shuangyashan,1459000,63.13683753,52,3.56408499,3,0.205620288,5.769230769,0.039823623,2.23E-05,0.166156798,0.000107415,-0.921523624,9.57E-05,98.39395294,51.97396293,6.700955855,9.809915378,22.26396474,8.831120709
Heilongjiang,Suihua,5213000,147.4046078,47,0.901592173,4,0.076731249,8.510638298,0.039141714,3.09E-05,0.165318646,9.82E-05,-0.873568199,0.000106392,89.29740841,44.72504845,4.802223343,11.3329202,25.44921514,9.439363989
Heilongjiang,Yichun,1098000,33.29733281,1,0.091074681,0,0,0,0.037795863,1.41E-05,0.167421291,0.000112772,-1.027160543,8.37E-05,62.27582313,36.83272651,3.826111294,7.257188397,18.44646785,3.75122695
Henan,Anyang,5176000,711.13178,53,1.023956723,0,0,0,0.054404957,0.000132148,0.13610096,0.000143888,-0.996514163,0.000204367,148.8487111,100.5199857,18.84841463,23.34900903,19.12546742,24.7254038
Henan,Hebi,1627300,755.707787,19,1.167578197,0,0,0,0.054449869,0.00014007,0.135910419,0.000138265,-1.00596886,0.000203439,142.1848596,91.07967179,14.84962666,22.25785117,24.16684379,21.93769201
